Priority,Issue key,Issue id,Custom field (Business Function),Status,Custom field (Actual delivery date),Summary,Custom field (Market),Created
3 Medium,MCH-4388,133095,CSC,Closed,04/07/2019 00:00,Fixing of bug from INC0434428 ,Czech Republic,26/06/2019 10:42
2 High,MCH-4387,133094,Collection Strategy,Closed,03/07/2019 00:00,Debt Sales,Czech Republic,26/06/2019 10:29
3 Medium,MCH-4199,129959,IT,Closed,03/07/2019 00:00,Automatic generating reports for UK,Czech Republic,04/06/2019 13:24
3 Medium,MCH-3770,124346,MI,Closed,03/07/2019 00:00,Automatizace reportů in reporting services,Czech Republic,09/05/2019 14:52
2 High,MCH-4260,118978,IT,Closed,01/07/2019 00:00,Error during the downloading data in Navigator,Czech Republic,06/03/2019 16:38
3 Medium,MCH-4376,133003,Marketing,Closed,25/06/2019 00:00,Flexi,Czech Republic,25/06/2019 13:23
3 Medium,MCH-1105,96224,SSP,Closed,21/06/2019 00:00,"Receiving FREUD extract on Monday morning reflecting changes proceed on Saturday, Sunday",Czech Republic,13/03/2018 18:22
3 Medium,MCH-4294,132022,Admin,Closed,21/06/2019 00:00,There is need to upload new document in Triton see attachement. The document  concerns to Aggent Support.,Czech Republic,14/06/2019 14:37
3 Medium,MCH-4302,132128,SSP,Closed,17/06/2019 00:00,Digital assist via CSC,Czech Republic,17/06/2019 20:42
3 Medium,MCH-4303,132129,Credit Risk,Closed,17/06/2019 00:00,Data load to CIS application (direct dependecy to Agent penalities],Czech Republic,17/06/2019 20:48
3 Medium,MCH-4259,131606,CSC,Closed,16/06/2019 00:00,Release_2019_12_SMS+ToolTip Fix,Czech Republic,12/06/2019 04:02
3 Medium,MCH-4282,131710,IT,Closed,13/06/2019 00:00,Cockpit security,Czech Republic,13/06/2019 08:03
3 Medium,MCH-4272,131658,Finance,Closed,13/06/2019 00:00,create report from triton,Czech Republic,12/06/2019 12:01
2 High,MCH-1107,96240,SSP,Change Delivered,06/06/2019 00:00,Changes in CIS application driven by CZE Licensing,Czech Republic,14/03/2018 08:36
1 Critical,MCH-3720,123316,Credit Risk,Closed,06/06/2019 00:00,Removing  of  Credit Bureau consents from all applications; law effective  date 24.4.,Czech Republic,24/04/2019 14:48
3 Medium,MCH-4201,130386,CSC,Closed,06/06/2019 00:00,Campaigns for external Callcenter - Cisco,Czech Republic,05/06/2019 07:34
3 Medium,MCH-4195,129914,CSC,Closed,06/06/2019 00:00,Inbound routing calls - IVR bypass,Czech Republic,04/06/2019 09:38
1 Critical,MCH-704,90482,SSP,Closed,06/06/2019 00:00,LM - system & process review to verify the LM is working as business need,Czech Republic,01/11/2017 14:48
2 High,MCH-1245,98755,SSP,Closed,03/06/2019 00:00,MyProvi - DROP 2.5 (BRM tablets issue),Czech Republic,27/04/2018 09:32
3 Medium,MCH-3037,114887,SSP,Closed,30/05/2019 00:00,loans provided by an acquisition specialist on an external site,Czech Republic,15/01/2019 17:03
3 Medium,MCH-3768,124287,Admin,Closed,30/05/2019 00:00,Změna oddělení/pozice a e-mailu v šablonách dopisů na Pohledávky OZ / TRITON,Czech Republic,09/05/2019 10:50
3 Medium,MCH-3977,128989,Finance,Closed,30/05/2019 00:00,SDP reports on SSRS,Czech Republic,29/05/2019 14:03
3 Medium,MCH-3800,124976,IT,Closed,27/05/2019 00:00,Impossible to see scorings from agent in Cockpit,Czech Republic,16/05/2019 10:03
3 Medium,MCH-3896,126473,IT,Closed,27/05/2019 00:00,SMS Parser - rollback,Czech Republic,23/05/2019 14:59
3 Medium,MCH-3894,126470,Marketing,Closed,23/05/2019 00:00,NOLB DB - LM not processing contacts,Czech Republic,23/05/2019 14:53
3 Medium,MCH-3885,126299,IT,Closed,23/05/2019 00:00,Fix blue files after BCP plan,Czech Republic,22/05/2019 14:25
1 Critical,MCH-891,92790,Finance,Closed,08/05/2019 00:00,Set up of Data Box for comms with state authorities ,Czech Republic,08/01/2018 15:58
2 High,MCH-846,92281,SSP,Closed,02/05/2019 00:00,closed lead status update in Cockpit and Fénix Web,Czech Republic,18/12/2017 09:36
3 Medium,MCH-355,85488,CSC,Closed,29/04/2019 00:00,Contacts to CVP department - email notifications (TFS 5378),Czech Republic,21/07/2017 15:17
2 High,MCH-3509,120257,Credit Risk,Closed,25/04/2019 00:00,ADM adjustment and CIS load extansion to allow process of CIS: customer documentation checks ,Czech Republic,21/03/2019 12:27
2 High,MCH-3586,121259,SSP,Closed,25/04/2019 00:00,Triton Agent Archivation  - Change the period,Czech Republic,02/04/2019 08:53
3 Medium,MCH-3521,120462,IT,Closed,25/04/2019 00:00,New field in CIS Rate klienta,Czech Republic,25/03/2019 08:38
2 High,MCH-3020,114764,Finance,Closed,18/04/2019 00:00,NCC - project change,Czech Republic,14/01/2019 09:41
4 Low,MCH-484,86533,Loss Prevention,Closed,17/04/2019 00:00,Job for regular import to Triton blacklist,Czech Republic,08/08/2017 10:20
3 Medium,MCH-356,85489,SSP,Closed,12/04/2019 00:00,LM SMS Scoring Orchestration Workflow (TFS 5472),Czech Republic,21/07/2017 15:22
3 Medium,MCH-1108,96248,IT,Closed,11/04/2019 00:00,"Extend KS Program functionality to display any approved holiday, absence, business trip in MS Outlook",Czech Republic,14/03/2018 09:36
3 Medium,MCH-361,85495,CSC,Closed,11/04/2019 00:00,SASPO - nonexisting numbers - NX_REQ0025549 (TFS Change 7093),Czech Republic,21/07/2017 15:59
3 Medium,MCH-2806,111658,SSP,Closed,09/04/2019 00:00,Geomarketing,Czech Republic,10/12/2018 11:19
2 High,MCH-3585,121256,CSC,Closed,03/04/2019 00:00,A produkty - Triton (FAST MT),Czech Republic,02/04/2019 08:13
3 Medium,MCH-3226,117141,Marketing,Closed,02/04/2019 00:00,Create  products A - A2 - A 20% discount,Czech Republic,11/02/2019 17:44
3 Medium,MCH-3534,120630,Other,Closed,29/03/2019 00:00,Insurance Fáze II - Vinkulace,Czech Republic,26/03/2019 09:39
2 High,MCH-3256,117686,IT,Closed,27/03/2019 00:00,ADS SQL server for analytical purpose will upgrade to SQL 2016 std,Czech Republic,18/02/2019 16:15
3 Medium,MCH-236,84391,Loss Prevention,Closed,27/03/2019 00:00,CVP and CCU Customers Report ,Czech Republic,27/06/2017 17:26
3 Medium,MCH-3517,120428,SSP,Closed,27/03/2019 00:00,O2 SMS conector,Czech Republic,24/03/2019 15:00
4 Low,MCH-487,86536,Admin,Closed,25/03/2019 00:00,Admin portal - delivery of the calendar,Czech Republic,08/08/2017 10:29
3 Medium,MCH-1089,95967,IT,Closed,24/03/2019 00:00,Creating documentation in CZ Market ,Czech Republic,09/03/2018 11:03
2 High,MCH-3395,118977,IT,Closed,21/03/2019 00:00,Not possible to find client before scoring in Fenixweb,Czech Republic,06/03/2019 16:31
3 Medium,MCH-3036,114884,Marketing,Closed,20/03/2019 00:00,Changes in CIS application & E- reports,Czech Republic,15/01/2019 16:33
3 Medium,MCH-794,91388,Operational,Closed,19/03/2019 00:00,Agent´s plans and targets ,Czech Republic,24/11/2017 13:35
4 Low,MCH-1619,101216,CSC,Closed,19/03/2019 00:00,Pair verified contacts between Triton & Saspo,Czech Republic,19/06/2018 14:11
3 Medium,MCH-1617,101203,CSC,Closed,19/03/2019 00:00,CSC Ability to create duplicate campaigns and create (plus edit) call results ,Czech Republic,19/06/2018 12:05
3 Medium,MCH-3098,115991,L&D,Closed,19/03/2019 00:00,Moodle _ CSV data repair ,Czech Republic,29/01/2019 08:32
3 Medium,MCH-489,86550,Marketing,Closed,19/03/2019 00:00,Availability of information from Coll List in Cockpit ( TFS 7604 ),Czech Republic,08/08/2017 11:43
2 High,MCH-492,86561,Credit Risk,Closed,19/03/2019 00:00,Include to Reserve system field Balance vs. Highest_Balance in last 26weeks ,Czech Republic,08/08/2017 13:09
3 Medium,MCH-352,85385,CSC,Closed,19/03/2019 00:00,Triton HDB,Czech Republic,20/07/2017 14:05
2 High,MCH-2775,111546,Marketing,Closed,12/03/2019 00:00,project digital assist,Czech Republic,06/12/2018 15:43
1 Critical,MCH-3225,117140,SSP,Closed,06/03/2019 00:00,Switch off sending SMS from Cockpit: Google operator change the rules,Czech Republic,11/02/2019 17:36
2 High,MCH-1186,97991,Marketing,Closed,05/03/2019 00:00,"Pay in time and get 4th month free (we „cash back"" one month - 1 monthly instalment/ 4 weekly installments)",Czech Republic,12/04/2018 09:38
3 Medium,MCH-3326,118373,CSC,Closed,28/02/2019 00:00,TRITON - NLMS WQ CHR II,Czech Republic,27/02/2019 12:30
2 High,MCH-3335,118383,Admin,Closed,28/02/2019 00:00,TRITON - Release_2019_08 - Smlouva o zapujcce,Czech Republic,27/02/2019 13:06
3 Medium,MCH-3341,118404,Admin,Closed,28/02/2019 00:00,Úprava archivace - oživení OZ s nárokem na provizi,Czech Republic,27/02/2019 15:11
3 Medium,MCH-3025,114792,Admin,Closed,21/02/2019 00:00,Změna nastavení fitrů registrace v modulu Registrace OZ Triton,Czech Republic,14/01/2019 14:56
3 Medium,MCH-3249,117596,SSP,Closed,15/02/2019 00:00,insurance CR of Cockpit product view,Czech Republic,15/02/2019 14:03
3 Medium,MCH-3244,117369,SSP,Closed,14/02/2019 00:00,available appl. Cockpit to Huawei Nova 3,Czech Republic,14/02/2019 13:42
2 High,MCH-2572,109523,Marketing,Closed,13/02/2019 00:00,new product insurance,Czech Republic,08/11/2018 20:01
2 High,MCH-3119,116104,CSC,Closed,12/02/2019 00:00,Insurance - požadavky na CRM Triton,Czech Republic,30/01/2019 13:55
3 Medium,MCH-652,89764,SSP,Closed,08/02/2019 00:00, Data on bound OZ from the CNB website in excel,Czech Republic,12/10/2017 10:30
3 Medium,MCH-2845,112257,Admin,Closed,08/02/2019 00:00,Změna čísla bankovního účtu registrace u ČNB,Czech Republic,17/12/2018 12:28
4 Low,MCH-3209,116858,CSC,Closed,07/02/2019 00:00,Callcenter servers - patch install (WIN+UCCE),Czech Republic,07/02/2019 13:25
3 Medium,MCH-2815,111712,SSP,Closed,07/02/2019 00:00,Registration account  number  controls,Czech Republic,10/12/2018 15:41
3 Medium,MCH-2510,109167,Finance,Closed,07/02/2019 00:00,Párování vrácené platby úpravou SS - přidání 6666 před week_id,Czech Republic,05/11/2018 12:03
3 Medium,MCH-3116,116098,IT,Closed,07/02/2019 00:00,New layer in Axapta,Czech Republic,30/01/2019 12:54
3 Medium,MCH-3191,116674,Other,Closed,05/02/2019 00:00,aa23,Czech Republic,05/02/2019 13:27
3 Medium,MCH-3088,115897,SSP,Closed,31/01/2019 00:00,change validation for number of RES leads,Czech Republic,25/01/2019 10:28
2 High,MCH-3104,116044,Admin,Closed,31/01/2019 00:00,Dodatek číslo 1. ke smlouvě o zpracování osobních údajů_pojištění,Czech Republic,29/01/2019 13:59
3 Medium,MCH-3117,116102,Loss Prevention,Closed,30/01/2019 00:00,"U obdržených leadů sledování produktu, kterého se to týká",Czech Republic,30/01/2019 13:33
3 Medium,MCH-3084,115867,IT,Closed,24/01/2019 00:00,CIS ending escalation by old files/items,Czech Republic,24/01/2019 14:54
3 Medium,MCH-3079,115623,Loss Prevention,Closed,24/01/2019 00:00,TRITON - BlackList - hromadný insert vybraných lidí callcentrem na blacklist,Czech Republic,23/01/2019 09:45
3 Medium,MCH-2946,113547,Admin,Closed,24/01/2019 00:00,Nahrání šablon dopisů k typu pohledávky prodloužení registrace,Czech Republic,04/01/2019 12:48
4 Low,MCH-886,92778,SSP,Closed,18/01/2019 00:00,Implemenation of new intranet used in Poland,Czech Republic,08/01/2018 12:52
2 High,MCH-893,92809,Marketing,Closed,18/01/2019 00:00,Insurance,Czech Republic,09/01/2018 09:00
2 High,MCH-493,86563,Credit Risk,Closed,18/01/2019 00:00,Adjustment of allowed identification cards ( TFS 7736 ),Czech Republic,08/08/2017 13:28
2 High,MCH-2072,103497,Credit Risk,Closed,17/01/2019 00:00,CIS - changes in control rules,Czech Republic,13/08/2018 13:50
1 Critical,MCH-844,92232,CSC,Closed,17/01/2019 00:00,Data Access Limitation In Triton for External CSC,Czech Republic,15/12/2017 08:34
3 Medium,MCH-2358,107267,IT,Closed,17/01/2019 00:00,Add a progress bar to the signing process in application Cockpit,Czech Republic,10/10/2018 10:23
3 Medium,MCH-2819,112019,IT,Closed,17/01/2019 00:00,Scoring - more than 5 digits in field Other Income,Czech Republic,11/12/2018 14:58
3 Medium,MCH-2929,113483,Credit Risk,Closed,17/01/2019 00:00,Add Kosovo into country list in CIS,Czech Republic,03/01/2019 13:01
2 High,MCH-3050,115052,CSC,Closed,17/01/2019 00:00, Kontakty WEB_CZ chybí zdroj affilates,Czech Republic,17/01/2019 11:10
3 Medium,MCH-2944,113528,IT,Closed,17/01/2019 00:00,Escalation in CIS will be longer,Czech Republic,04/01/2019 10:25
3 Medium,MCH-2077,103589,Credit Risk,Closed,17/01/2019 00:00,CIS eskalation,Czech Republic,15/08/2018 10:21
3 Medium,MCH-2548,109404,Marketing,Closed,10/01/2019 00:00,info about product on lead,Czech Republic,07/11/2018 15:28
1 Critical,MCH-513,86746,Legal,Closed,17/12/2018 00:00,CZE Licence,Czech Republic,11/08/2017 09:22
1 Critical,MCH-2390,107621,SSP,Closed,26/11/2018 00:00,Provi Direct - Decommission ,Czech Republic,12/10/2018 15:26
2 High,MCH-2493,108709,Admin,Closed,26/11/2018 00:00,Nahrání dokumentu CZ718-02 Dohoda o odborné zkoušce,Czech Republic,30/10/2018 15:21
2 High,MCH-2524,109266,Admin,Closed,26/11/2018 00:00,Nahrání dokumentu Pokyny společnosti PF pro obchodní zástupce_akviziční specialista (CZ 836),Czech Republic,06/11/2018 14:54
3 Medium,MCH-697,90401,CSC,Closed,26/11/2018 00:00,propagation change MKT message - Triton,Czech Republic,31/10/2017 08:53
1 Critical,MCH-1500,100106,CSC,Closed,26/11/2018 00:00,Contact source displayed in Triton campaigns,Czech Republic,23/05/2018 07:55
1 Critical,MCH-1753,101664,Legal,Closed,26/11/2018 00:00,GDPR Day1,Czech Republic,26/06/2018 13:38
2 High,MCH-2479,108429,Collection,Closed,19/11/2018 00:00,Saspo update,Czech Republic,26/10/2018 16:21
3 Medium,MCH-2419,107825,SSP,Closed,19/11/2018 00:00,new e_report,Czech Republic,17/10/2018 07:18
3 Medium,MCH-740,90987,Marketing,Closed,16/11/2018 00:00,CHANGE IN FENIXWEB - INFORMATION SMS,Czech Republic,14/11/2017 15:57
2 High,MCH-488,86538,SSP,Closed,16/11/2018 00:00,Triton access for Business Leaders ( TFS 7596 ),Czech Republic,08/08/2017 10:51
3 Medium,MCH-353,85486,SSP,Closed,16/11/2018 00:00,Navigator_Audit (TFS 4503),Czech Republic,21/07/2017 15:02
3 Medium,MCH-2547,109391,IT,Closed,15/11/2018 00:00,New layer in Axapta,Czech Republic,07/11/2018 14:31
